,Survived,Pclass,Sex,Age,Embarked
0,0,3,male,22.0,S
1,1,1,female,38.0,C
2,1,3,female,26.0,S
3,1,1,female,35.0,S
4,0,3,male,35.0,S
5,0,3,male,,Q
6,0,1,male,54.0,S
7,0,3,male,2.0,S
8,1,3,female,27.0,S
9,1,2,female,14.0,C
10,1,3,female,4.0,S
11,1,1,female,58.0,S
12,0,3,male,20.0,S
13,0,3,male,39.0,S
14,0,3,female,14.0,S
15,1,2,female,55.0,S
16,0,3,male,2.0,Q
17,1,2,male,,S
18,0,3,female,31.0,S
19,1,3,female,,C
20,0,2,male,35.0,S
21,1,2,male,34.0,S
22,1,3,female,15.0,Q
23,1,1,male,28.0,S
24,0,3,female,8.0,S
25,1,3,female,38.0,S
26,0,3,male,,C
27,0,1,male,19.0,S
28,1,3,female,,Q
29,0,3,male,,S
30,0,1,male,40.0,C
31,1,1,female,,C
32,1,3,female,,Q
33,0,2,male,66.0,S
34,0,1,male,28.0,C
35,0,1,male,42.0,S
36,1,3,male,,C
37,0,3,male,21.0,S
38,0,3,female,18.0,S
39,1,3,female,14.0,C
40,0,3,female,40.0,S
41,0,2,female,27.0,S
42,0,3,male,,C
43,1,2,female,3.0,C
44,1,3,female,19.0,Q
45,0,3,male,,S
46,0,3,male,,Q
47,1,3,female,,Q
48,0,3,male,,C
49,0,3,female,18.0,S
50,0,3,male,7.0,S
51,0,3,male,21.0,S
52,1,1,female,49.0,C
53,1,2,female,29.0,S
54,0,1,male,65.0,C
55,1,1,male,,S
56,1,2,female,21.0,S
57,0,3,male,28.5,C
58,1,2,female,5.0,S
59,0,3,male,11.0,S
60,0,3,male,22.0,C
61,1,1,female,38.0,
62,0,1,male,45.0,S
63,0,3,male,4.0,S
64,0,1,male,,C
65,1,3,male,,C
66,1,2,female,29.0,S
67,0,3,male,19.0,S
68,1,3,female,17.0,S
69,0,3,male,26.0,S
70,0,2,male,32.0,S
71,0,3,female,16.0,S
72,0,2,male,21.0,S
